"Song","Artist","Title","Quadrant","PQuad","MoodsTotal","Moods","MoodsFoundStr","MoodsStr","MoodsStrSplit","Genres","GenresStr","Sample","SampleURL"
"MT0001993588","Barcode","Showdown","Q2",0.666666666666667,3,3,"jittery; negative; nervous","Negative; Nervous/Jittery","Negative; Nervous; Jittery",3,"Electronic; International; Pop/Rock",1,"http://rovimusic.rovicorp.com/playback.mp3?c=aNgcANdIn3KV8jRMD2_auoapJnH0KBK7tayJ1L1z1aM=&f=I"
"MT0002006203","Ray Brown","Ill Wind","Q3",0.545454545454545,11,8,"bitter; brooding; gloomy; melancholy; quiet; sad; soft; weary","Angst-Ridden; Autumnal; Bitter; Brooding; Gloomy; Melancholy; Restrained; Sad; Soft/Quiet; Weary","Angst-Ridden; Autumnal; Bitter; Brooding; Gloomy; Melancholy; Restrained; Sad; Soft; Quiet; Weary",2,"Jazz; Vocal",1,"http://rovimusic.rovicorp.com/playback.mp3?c=xYDfV1o36a1nTY9nzcFdfPQIxMnXLaW9NvEpt_rvU6E=&f=I"
"MT0002033629","Celia Cruz","La Bikina","Q1",0.75,4,3,"gutsy; sexy; spicy","Brassy; Gutsy; Sexy; Spicy","Brassy; Gutsy; Sexy; Spicy",1,"Latin",1,"http://rovimusic.rovicorp.com/playback.mp3?c=7zr3gpty_wrg5aY7KJtaefQIxMnXLaW9NvEpt_rvU6E=&f=I"
"MT0002050671","The Rance Allen Group","Talk That Talk; Pt. 2","Q2",0.666666666666667,3,3,"bitter; fierce; outraged","Bitter; Fierce; Outraged","Bitter; Fierce; Outraged",2,"R&B; Religious",1,"http://rovimusic.rovicorp.com/playback.mp3?c=mKube58Sfkc0L3t5sIIJljqpU4hxl5saPDaNIVORh-E=&f=J"
"MT0002053300","Celia Cruz","El Pescador","Q1",0.75,4,3,"gutsy; sexy; spicy","Brassy; Gutsy; Sexy; Spicy","Brassy; Gutsy; Sexy; Spicy",1,"Latin",1,"http://rovimusic.rovicorp.com/playback.mp3?c=O39eQa1k26GENVtNbQJRofh0BJxFGWncDvRkmPV4knk=&f=I"
"MT0002057142","The Creatures","Don't Go to Sleep Without Me","Q3",0.666666666666667,3,3,"bleak; cold; eerie","Bleak; Cold; Eerie","Bleak; Cold; Eerie",1,"Pop/Rock",1,"http://rovimusic.rovicorp.com/playback.mp3?c=mqcnxtipHxpVR8SPGqO42awfpsQHuOlGC4-o-yXc8Os=&f=J"
"MT0002070112","Fennesz","Shisheido","Q3",0.571428571428571,7,6,"cerebral; clinical; complex; detached; eerie; intense","Cerebral; Clinical; Complex; Detached; Eerie; Intense; Summery","Cerebral; Clinical; Complex; Detached; Eerie; Intense; Summery",4,"Electronic; Avant-Garde; Pop/Rock; Jazz",1,"http://rovimusic.rovicorp.com/playback.mp3?c=DkKvRrQcSrXsCe7KqXqfBZjWf7KriH64XH0cLbjLrOY=&f=I"
"MT0002086401","Lightnin' Hopkins","Racetrack Blues","Q3",0.666666666666667,3,3,"greasy; lazy; uncompromising","Greasy; Lazy; Uncompromising","Greasy; Lazy; Uncompromising",1,"Blues",1,"http://rovimusic.rovicorp.com/playback.mp3?c=eEwjwWtZOZhtsSjOtUhwIzqpU4hxl5saPDaNIVORh-E=&f=J"
"MT0002087541","Siouxsie and the Banshees","Not Forgotten","Q3",0.571428571428571,7,5,"bitter; bleak; cold; gloomy; ominous","Bitter; Bleak; Cold; Gloomy; Ominous; Somber; Wintry","Bitter; Bleak; Cold; Gloomy; Ominous; Somber; Wintry",1,"Pop/Rock",1,"http://rovimusic.rovicorp.com/playback.mp3?c=wq47-mlqCsUzyd1-X7axLP3pqi0RS20pHqZddGAWQOA=&f=J"
"MT0002119439","The Jordanaires","Hound Dog","Q1",0.583333333333333,12,9,"amiable; cheerful; confident; energetic; fun; humorous; lively; playful; rousing","Amiable/Good-Natured; Boisterous; Cheerful; Confident; Energetic; Fun; Humorous; Lively; Playful; Rollicking; Rousing","Amiable; Good-Natured; Boisterous; Cheerful; Confident; Energetic; Fun; Humorous; Lively; Playful; Rollicking; Rousing",1,"Pop/Rock",1,"http://rovimusic.rovicorp.com/playback.mp3?c=Ghr42Ro-jjoD0YEIoOxss_KUU23ZQzDPVjJ3ONioHGo=&f=J"
"MT0002124238","The Clash","Robber Dub","Q4",0.555555555555556,9,7,"bleak; confident; hypnotic; nocturnal; quirky; rebellious; relaxed","Bleak; Confident; Druggy; Hypnotic; Nocturnal; Quirky; Rebellious; Relaxed; Trippy","Bleak; Confident; Druggy; Hypnotic; Nocturnal; Quirky; Rebellious; Relaxed; Trippy",2,"Reggae; Pop/Rock",1,"http://rovimusic.rovicorp.com/playback.mp3?c=eTqneNPf2DHbwD19U2IzKPKUU23ZQzDPVjJ3ONioHGo=&f=I"
"MT0002126934","Cabaret Voltaire","Eddie's Out","Q3",0.6,10,8,"bleak; brittle; clinical; cold; detached; harsh; hostile; menacing","Bleak; Brittle; Clinical; Cold; Detached; Harsh; Hostile; Menacing; Trippy; Unsettling","Bleak; Brittle; Clinical; Cold; Detached; Harsh; Hostile; Menacing; Trippy; Unsettling",2,"Avant-Garde; Pop/Rock",1,"http://rovimusic.rovicorp.com/playback.mp3?c=9eonsT743zVOhhJsCQQaLZjWf7KriH64XH0cLbjLrOY=&f=J"
"MT0002132088","Mariah Carey","Fourth of July","Q4",0.75,8,7,"calm; dreamy; peaceful; precious; quiet; sensual; soft","Calm/Peaceful; Dreamy; Precious; Restrained; Sensual; Soft/Quiet","Calm; Peaceful; Dreamy; Precious; Restrained; Sensual; Soft; Quiet",3,"Electronic; R&B; Pop/Rock",1,"http://rovimusic.rovicorp.com/playback.mp3?c=Y9CTgd8h_rRldO-9aJcPD82KXJKuJLE7UG4BJXcyKZ4=&f=J"
"MT0002142155","Ella Fitzgerald","The Man That Got Away","Q3",0.75,8,7,"bitter; bleak; brooding; gloomy; nocturnal; sad; weary","Bitter; Bleak; Brooding; Gloomy; Nocturnal; Sad; Somber; Weary","Bitter; Bleak; Brooding; Gloomy; Nocturnal; Sad; Somber; Weary",2,"Jazz; Vocal",1,"http://rovimusic.rovicorp.com/playback.mp3?c=lHJuDyn5kaK1cIs_YZidPawfpsQHuOlGC4-o-yXc8Os=&f=I"
"MT0002161109","Elmer Bernstein","That Old Black Magic","Q1",1,3,3,"exciting; happy; humorous","Exciting; Happy; Humorous","Exciting; Happy; Humorous",3,"Blues; Jazz; Vocal",1,"http://rovimusic.rovicorp.com/playback.mp3?c=kPGIBPV1NXmOXZD-Fh6xVvKUU23ZQzDPVjJ3ONioHGo=&f=J"
"MT0002222957","Gipsy Kings","Solo; Solo Dire","Q1",0.75,4,3,"fiery; sexy; spicy","Cathartic; Fiery; Sexy; Spicy","Cathartic; Fiery; Sexy; Spicy",2,"International; Jazz",1,"http://rovimusic.rovicorp.com/playback.mp3?c=GgKequUoOR3mIgcs-UXfh6wfpsQHuOlGC4-o-yXc8Os=&f=J"
"MT0002233402","C-Murder","Ghetto Ties","Q3",0.666666666666667,6,5,"bitter; bleak; gloomy; paranoid; snide","Bitter; Bleak; Gloomy; Paranoid; Snide; Thuggish","Bitter; Bleak; Gloomy; Paranoid; Snide; Thuggish",1,"Rap",1,"http://rovimusic.rovicorp.com/playback.mp3?c=mrfHxATxRFppsIUkS30u6fh0BJxFGWncDvRkmPV4knk=&f=J"
"MT0002262181","Rod Stewart","Ghetto Blaster","Q1",0.8,5,4,"lively; positive; powerful; strong","Lively; Marching; Positive; Powerful; Strong","Lively; Marching; Positive; Powerful; Strong",2,"Electronic; Pop/Rock",1,"http://rovimusic.rovicorp.com/playback.mp3?c=_cbIRcoxzAVAb6SzEod-GPh0BJxFGWncDvRkmPV4knk=&f=I"
"MT0002297016","Tito Puente","Mambo Beat","Q1",0.75,4,3,"exciting; joyous; spicy","Brassy; Exciting; Joyous; Spicy","Brassy; Exciting; Joyous; Spicy",2,"Latin; Jazz",1,"http://rovimusic.rovicorp.com/playback.mp3?c=o1sOPeh-9uA76pl36g35LGjIb8Tr8vVfGLIuM5x_WSg=&f=J"
"MT0002351905","Garth Brooks","Ain't Going Down (Til the Sun Comes Up)","Q1",0.666666666666667,3,3,"happy; humorous; uncompromising","Happy; Humorous; Uncompromising","Happy; Humorous; Uncompromising",1,"Country",1,"http://rovimusic.rovicorp.com/playback.mp3?c=tTrlQHsY0iqTyeUrRmv5IPQIxMnXLaW9NvEpt_rvU6E=&f=J"
"MT0002366291","Madonna","Deeper and Deeper [Shep's Fierce Deeper Dub]","Q1",0.8,5,5,"nocturnal; provocative; sensual; sexual; sexy","Nocturnal; Provocative; Sensual; Sexual; Sexy","Nocturnal; Provocative; Sensual; Sexual; Sexy",2,"Pop/Rock; Electronic",1,"http://rovimusic.rovicorp.com/playback.mp3?c=7gEZd6oPY723KgO2ihvrSc2KXJKuJLE7UG4BJXcyKZ4=&f=J"
"MT0002372242","Dr. Dre","A Nigga Witta Gun","Q2",0.6,10,9,"angry; fierce; fiery; harsh; menacing; provocative; rebellious; uncompromising; volatile","Angry; Fierce; Fiery; Harsh; Menacing; Provocative; Rebellious; Thuggish; Uncompromising; Volatile","Angry; Fierce; Fiery; Harsh; Menacing; Provocative; Rebellious; Thuggish; Uncompromising; Volatile",1,"Rap",1,"http://rovimusic.rovicorp.com/playback.mp3?c=SFLXBktRgoclb6DgURwhrZjWf7KriH64XH0cLbjLrOY=&f=J"
"MT0002379222","Michael Franks","Mr. Smooth","Q3",0.6,5,4,"indulgent; lazy; naive; precious","Indulgent; Lazy; Naive; Precious; Sugary","Indulgent; Lazy; Naive; Precious; Sugary",2,"Vocal; Jazz",1,"http://rovimusic.rovicorp.com/playback.mp3?c=38LuuyGH3k-Dn6qzzrX3GqwfpsQHuOlGC4-o-yXc8Os=&f=J"
"MT0002385077","10 Fold B-Low","Puppets","Q2",0.666666666666667,3,3,"jittery; negative; nervous","Negative; Nervous/Jittery","Negative; Nervous; Jittery",3,"Electronic; International; Pop/Rock",1,"http://rovimusic.rovicorp.com/playback.mp3?c=FR5DiOfPaqVvJkQs3MH6P2jIb8Tr8vVfGLIuM5x_WSg=&f=J"
"MT0002391847","Lester Flatt","Flint Hill Special","Q1",0.666666666666667,3,3,"fiery; joyous; rustic","Fiery; Joyous; Rustic","Fiery; Joyous; Rustic",1,"Country",1,"http://rovimusic.rovicorp.com/playback.mp3?c=R9TOzE8_NLWaf32ZxuSpsfKUU23ZQzDPVjJ3ONioHGo=&f=J"
"MT0002399275","D.R.I.","Broke","Q2",0.666666666666667,6,5,"fierce; hostile; manic; outraged; reckless","Fierce; Hostile; Malevolent; Manic; Outraged; Reckless","Fierce; Hostile; Malevolent; Manic; Outraged; Reckless",1,"Pop/Rock",1,"http://rovimusic.rovicorp.com/playback.mp3?c=Krh-IJenb4v_gbySRN55wKwfpsQHuOlGC4-o-yXc8Os=&f=J"
"MT0002415184","Joe Henry","Nico Lost One Small Buddha","Q2",0.666666666666667,3,3,"aggressive; anguished; distraught","Aggressive; Anguished/Distraught","Aggressive; Anguished; Distraught",2,"Pop/Rock; Country",1,"http://rovimusic.rovicorp.com/playback.mp3?c=i-_AY7VZPzehBdWSg_hlCpjWf7KriH64XH0cLbjLrOY=&f=J"
"MT0002448379","Burt Bacharach","Do You Know the Way to San Jose?","Q4",0.666666666666667,24,21,"amiable; bittersweet; dreamy; earnest; elegant; gentle; light; lively; melancholy; quiet; reflective; relaxed; sentimental; slick; smooth; soft; soothing; sophisticated; spicy; stylish; warm","Amiable/Good-Natured; Bittersweet; Dreamy; Earnest; Effervescent; Elegant; Gentle; Light; Lively; Melancholy; Reflective; Relaxed; Sentimental; Slick; Smooth; Soft/Quiet; Soothing; Sophisticated; Spicy; Stylish; Warm; Wistful","Amiable; Good-Natured; Bittersweet; Dreamy; Earnest; Effervescent; Elegant; Gentle; Light; Lively; Melancholy; Reflective; Relaxed; Sentimental; Slick; Smooth; Soft; Quiet; Soothing; Sophisticated; Spicy; Stylish; Warm; Wistful",3,"Easy Listening; Pop/Rock; R&B",1,"http://rovimusic.rovicorp.com/playback.mp3?c=54-xjwATWdk6ddjQOWfq6qwfpsQHuOlGC4-o-yXc8Os=&f=J"
"MT0002479795","RZA","Fury in My Eyes/Revenge","Q2",0.6,5,4,"anxious; menacing; ominous; tense","Cathartic; Menacing; Ominous; Tense/Anxious","Cathartic; Menacing; Ominous; Tense; Anxious",2,"Stage & Screen; Rap",1,"http://rovimusic.rovicorp.com/playback.mp3?c=wZyB3OzdsHTP6yUniQwHDfh0BJxFGWncDvRkmPV4knk=&f=J"
"MT0002485672","Fennesz","Transit","Q3",1,3,3,"clinical; complex; difficult","Clinical; Complex; Difficult","Clinical; Complex; Difficult",3,"Avant-Garde; Electronic; Pop/Rock",1,"http://rovimusic.rovicorp.com/playback.mp3?c=vteximdBDVmB5ENY1xddjPh0BJxFGWncDvRkmPV4knk=&f=J"
"MT0002525905","Bruce Haack","Popcorn","Q1",0.666666666666667,3,3,"eccentric; giddy; silly","Eccentric; Giddy; Silly","Eccentric; Giddy; Silly",2,"Pop/Rock; Children's",1,"http://rovimusic.rovicorp.com/playback.mp3?c=489YRV_mHXYrjhA8QW65pKwfpsQHuOlGC4-o-yXc8Os=&f=J"
"MT0002532237","Spike Jones","Big Bad Bill","Q1",0.571428571428571,7,5,"eccentric; exciting; giddy; humorous; outrageous","Campy; Eccentric; Exciting; Giddy; Humorous; Irreverent; Outrageous","Campy; Eccentric; Exciting; Giddy; Humorous; Irreverent; Outrageous",2,"Comedy/Spoken; Jazz",1,"http://rovimusic.rovicorp.com/playback.mp3?c=U118iXt0jg84IFFgJMJ3d4apJnH0KBK7tayJ1L1z1aM=&f=J"
"MT0002536460","Clifton Chenier","The Cat's Dreamin'","Q3",0.666666666666667,3,3,"greasy; lazy; rustic","Greasy; Lazy; Rustic","Greasy; Lazy; Rustic",1,"International",1,"http://rovimusic.rovicorp.com/playback.mp3?c=tN3smITSxBzyDe-iEIrpm6wfpsQHuOlGC4-o-yXc8Os=&f=I"
"MT0002538335","Beenie Man","Red Red","Q1",0.666666666666667,3,3,"outrageous; provocative; sexual","Outrageous; Provocative; Sexual","Outrageous; Provocative; Sexual",1,"Reggae",1,"http://rovimusic.rovicorp.com/playback.mp3?c=RO_jh_Q8Ba_Q3deLpr24HJjWf7KriH64XH0cLbjLrOY=&f=J"
"MT0002595792","Spike Jones","The Sheik of Araby","Q1",0.571428571428571,14,11,"cheerful; eccentric; elaborate; fun; giddy; humorous; joyous; quirky; theatrical; whimsical; witty","Campy; Cheerful; Eccentric; Elaborate; Exuberant; Fun; Giddy; Humorous; Joyous; Quirky; Rollicking; Theatrical; Whimsical; Witty","Campy; Cheerful; Eccentric; Elaborate; Exuberant; Fun; Giddy; Humorous; Joyous; Quirky; Rollicking; Theatrical; Whimsical; Witty",2,"Jazz; Comedy/Spoken",1,"http://rovimusic.rovicorp.com/playback.mp3?c=WykHgvBiXF31E8GmEsiX6pjWf7KriH64XH0cLbjLrOY=&f=J"
"MT0002602057","JFA","American Buttfuckers","Q2",0.6,5,4,"harsh; reckless; sexual; sleazy","Campy; Harsh; Reckless; Sexual; Sleazy","Campy; Harsh; Reckless; Sexual; Sleazy",1,"Pop/Rock",1,"http://rovimusic.rovicorp.com/playback.mp3?c=xOg8te4J56e51ktQPN4TxvQIxMnXLaW9NvEpt_rvU6E=&f=I"
"MT0002634024","Ken Boothe","Is It Because I'm Black?","Q3",0.533333333333333,15,13,"angry; anguished; anxious; bitter; bleak; brooding; distraught; gloomy; gritty; melancholy; paranoid; tense; weary","Angry; Angst-Ridden; Anguished/Distraught; Bitter; Bleak; Brooding; Gloomy; Gritty; Melancholy; Paranoid; Somber; Tense/Anxious; Weary","Angry; Angst-Ridden; Anguished; Distraught; Bitter; Bleak; Brooding; Gloomy; Gritty; Melancholy; Paranoid; Somber; Tense; Anxious; Weary",2,"Reggae; R&B",1,"http://rovimusic.rovicorp.com/playback.mp3?c=NWGM4mFYCaKJTot_-m-jvvKUU23ZQzDPVjJ3ONioHGo=&f=J"
"MT0002674708","Mannheim Steamroller","O Tannenbuam","Q4",1,3,3,"atmospheric; calm; peaceful","Atmospheric; Calm/Peaceful","Atmospheric; Calm; Peaceful",2,"Holiday; New Age",1,"http://rovimusic.rovicorp.com/playback.mp3?c=qBMiyu_-bOZGRtWIdktnw2jIb8Tr8vVfGLIuM5x_WSg=&f=J"
"MT0002698706","José Feliciano","Chico and the Man","Q1",0.666666666666667,3,3,"brooding; happy; rousing","Brooding; Happy; Rousing","Brooding; Happy; Rousing",2,"Vocal; Pop/Rock",1,"http://rovimusic.rovicorp.com/playback.mp3?c=cfBzriC6l29ZBbRGuiWkgGjIb8Tr8vVfGLIuM5x_WSg=&f=J"
"MT0002698827","Johnny Cash","The Lily of the Valley","Q4",0.666666666666667,6,4,"agreeable; optimistic; pure; relaxed","Agreeable; Optimistic; Pulsing; Pure; Relaxed; Swinging","Agreeable; Optimistic; Pulsing; Pure; Relaxed; Swinging",3,"Country; Pop/Rock; Religious",1,"http://rovimusic.rovicorp.com/playback.mp3?c=LA0PH71-XSycKpyrfNwU_PQIxMnXLaW9NvEpt_rvU6E=&f=J"
"MT0002714805","Kitaro","Spiritual Garden","Q4",0.6,5,3,"hypnotic; quiet; soft","Ethereal; Hypnotic; Soft/Quiet; Sprawling","Ethereal; Hypnotic; Soft; Quiet; Sprawling",2,"New Age; Electronic",1,"http://rovimusic.rovicorp.com/playback.mp3?c=soVRdHF4DQen1xI05mLkjmjIb8Tr8vVfGLIuM5x_WSg=&f=J"
"MT0002760912","Baxter","Television","Q3",0.75,4,4,"bleak; cold; gloomy; ominous","Bleak; Cold; Gloomy; Ominous","Bleak; Cold; Gloomy; Ominous",1,"Electronic",1,"http://rovimusic.rovicorp.com/playback.mp3?c=d2zGqzC1hs6FqoF6icHQ5_KUU23ZQzDPVjJ3ONioHGo=&f=J"
"MT0002794078","Arrested Development","Searchin' for One Soul","Q1",0.666666666666667,3,3,"agreeable; euphoric; positive","Agreeable; Euphoric; Positive","Agreeable; Euphoric; Positive",2,"Folk; International",1,"http://rovimusic.rovicorp.com/playback.mp3?c=DcvC5d4PfRmpfOYR7e8jkYapJnH0KBK7tayJ1L1z1aM=&f=I"
"MT0002811975","Aaliyah","Best Friends","Q4",0.615384615384615,13,11,"bright; confident; energetic; gentle; quiet; relaxed; smooth; soft; soothing; sophisticated; warm","Bright; Confident; Energetic; Gentle; Relaxed; Smooth; Soft/Quiet; Soothing; Sophisticated; Street-Smart; Swaggering; Warm","Bright; Confident; Energetic; Gentle; Relaxed; Smooth; Soft; Quiet; Soothing; Sophisticated; Street-Smart; Swaggering; Warm",2,"R&B; Rap",1,"http://rovimusic.rovicorp.com/playback.mp3?c=xOFlU9yGCuZxhNvz83IH7c2KXJKuJLE7UG4BJXcyKZ4=&f=J"
"MT0002834532","Merle Haggard","Someone Told My Story","Q4",0.666666666666667,6,6,"bittersweet; cheerful; humorous; light; relaxed; soothing","Bittersweet; Cheerful; Humorous; Light; Relaxed; Soothing","Bittersweet; Cheerful; Humorous; Light; Relaxed; Soothing",1,"Country",1,"http://rovimusic.rovicorp.com/playback.mp3?c=dIC2rycrCcedJ1SifUtO5awfpsQHuOlGC4-o-yXc8Os=&f=I"
"MT0002846256","Céline Dion","Miracle","Q4",0.888888888888889,9,8,"calm; delicate; gentle; mellow; peaceful; precious; soothing; sweet","Calm/Peaceful; Delicate; Gentle; Laid-Back/Mellow; Precious; Soothing; Sweet","Calm; Peaceful; Delicate; Gentle; Laid-Back; Mellow; Precious; Soothing; Sweet",2,"Children's; Pop/Rock",1,"http://rovimusic.rovicorp.com/playback.mp3?c=T5aNYAN-7L4-RWlUZQIBVc2KXJKuJLE7UG4BJXcyKZ4=&f=J"
"MT0002894033","Garth Brooks","Beer Run","Q1",0.666666666666667,3,3,"gentle; happy; humorous","Gentle; Happy; Humorous","Gentle; Happy; Humorous",1,"Country",1,"http://rovimusic.rovicorp.com/playback.mp3?c=OdR9y9J0qoYJRECm7MIOpIapJnH0KBK7tayJ1L1z1aM=&f=I"
"MT0002915967","Billie Holiday","Billie's Blues","Q3",0.666666666666667,6,5,"bitter; gloomy; nocturnal; sad; weary","Bitter; Gloomy; Nocturnal; Restrained; Sad; Weary","Bitter; Gloomy; Nocturnal; Restrained; Sad; Weary",2,"Jazz; Vocal",1,"http://rovimusic.rovicorp.com/playback.mp3?c=IbVEcjzMsPbPd2jG-IoRT6wfpsQHuOlGC4-o-yXc8Os=&f=J"
"MT0002960683","Dismember","Carnal Tomb","Q2",0.666666666666667,3,3,"jittery; negative; nervous","Negative; Nervous/Jittery","Negative; Nervous; Jittery",3,"Electronic; International; Pop/Rock",1,"http://rovimusic.rovicorp.com/playback.mp3?c=5rm6gC8f2q3ZyMVI39lHLPh0BJxFGWncDvRkmPV4knk=&f=J"
"MT0002986568","Robin Lane & The Chartbusters","When Things Go Wrong","Q3",0.666666666666667,3,3,"anguished; bleak; distraught","Anguished/Distraught; Bleak","Anguished; Distraught; Bleak",1,"Pop/Rock",1,"http://rovimusic.rovicorp.com/playback.mp3?c=Fj3VCg7OkGoLeMhTPGjwEs2KXJKuJLE7UG4BJXcyKZ4=&f=J"
"MT0003019852","Agnostic Front","My Life","Q2",0.6,5,4,"angry; hostile; menacing; outrageous","Angry; Hostile; Menacing; Nihilistic; Outrageous","Angry; Hostile; Menacing; Nihilistic; Outrageous",1,"Pop/Rock",1,"http://rovimusic.rovicorp.com/playback.mp3?c=tQYliPJvfcRYtG5pJm0YQZjWf7KriH64XH0cLbjLrOY=&f=J"
"MT0003022328","Antônio Carlos Jobim","Agua de Beber","Q4",0.5625,16,11,"bittersweet; calm; delicate; gentle; intimate; melancholy; mellow; peaceful; sentimental; soothing; sweet","Autumnal; Bittersweet; Calm/Peaceful; Delicate; Gentle; Intimate; Laid-Back/Mellow; Melancholy; Restrained; Sentimental; Soothing; Summery; Sweet; Wistful","Autumnal; Bittersweet; Calm; Peaceful; Delicate; Gentle; Intimate; Laid-Back; Mellow; Melancholy; Restrained; Sentimental; Soothing; Summery; Sweet; Wistful",3,"Latin; International; Jazz",1,"http://rovimusic.rovicorp.com/playback.mp3?c=hIcizEthEDt3NFo0W5BthYapJnH0KBK7tayJ1L1z1aM=&f=J"
"MT0003025046","Céline Dion","Beautiful Boy","Q4",0.888888888888889,9,8,"calm; delicate; gentle; mellow; peaceful; precious; soothing; sweet","Calm/Peaceful; Delicate; Gentle; Laid-Back/Mellow; Precious; Soothing; Sweet","Calm; Peaceful; Delicate; Gentle; Laid-Back; Mellow; Precious; Soothing; Sweet",2,"Children's; Pop/Rock",1,"http://rovimusic.rovicorp.com/playback.mp3?c=8OuPSq9V7AJehxP9RGso-_3pqi0RS20pHqZddGAWQOA=&f=J"
"MT0003037596","Stevie Wonder","Ecclesiastes","Q3",0.666666666666667,3,3,"gloomy; quirky; sad","Gloomy; Quirky; Sad","Gloomy; Quirky; Sad",3,"Classical; Religious; Stage & Screen",1,"http://rovimusic.rovicorp.com/playback.mp3?c=jDZw4qjdsCvbD796omemt2jIb8Tr8vVfGLIuM5x_WSg=&f=J"
"MT0003037754","Graham Coxon","Keep Hope Alive","Q3",0.666666666666667,3,3,"gloomy; lonely; nostalgic","Gloomy; Lonely; Nostalgic","Gloomy; Lonely; Nostalgic",1,"Pop/Rock",1,"http://rovimusic.rovicorp.com/playback.mp3?c=FMyH2AItQmi5LwWhxh7wWKwfpsQHuOlGC4-o-yXc8Os=&f=J"
"MT0003044417","Paul McCartney","Just Because","Q1",0.571428571428571,7,5,"cheerful; lively; optimistic; positive; strong","Cheerful; Flowing; Lively; Optimistic; Positive; Pulsing; Strong","Cheerful; Flowing; Lively; Optimistic; Positive; Pulsing; Strong",2,"Electronic; Pop/Rock",1,"http://rovimusic.rovicorp.com/playback.mp3?c=ci4i8mXD1atYLUUJKTq70vQIxMnXLaW9NvEpt_rvU6E=&f=I"
"MT0003053135","Juan Luis Guerra","Sobremesa","Q3",0.666666666666667,3,3,"lonely; nostalgic; sad","Lonely; Nostalgic; Sad","Lonely; Nostalgic; Sad",2,"Latin; Pop/Rock",1,"http://rovimusic.rovicorp.com/playback.mp3?c=CVvaMnGeUx1RLKOIVnticfKUU23ZQzDPVjJ3ONioHGo=&f=J"
"MT0003101727","Roberta Flack","Angelitos Negros","Q3",0.6,5,4,"gloomy; lonely; sad; serious","Gloomy; Lonely; Sad; Serious; Striding","Gloomy; Lonely; Sad; Serious; Striding",3,"R&B; Classical; Folk",1,"http://rovimusic.rovicorp.com/playback.mp3?c=FV-kCWgJsKfgkxz298q8-fKUU23ZQzDPVjJ3ONioHGo=&f=J"
"MT0003106472","Da Lench Mob","Lost in Tha System","Q2",0.6,5,4,"angry; bitter; hostile; outraged","Acerbic; Angry; Bitter; Hostile; Outraged","Acerbic; Angry; Bitter; Hostile; Outraged",1,"Rap",1,"http://rovimusic.rovicorp.com/playback.mp3?c=kAZzoqay2okpiluQo7ROYpjWf7KriH64XH0cLbjLrOY=&f=J"
"MT0003114552","Jimmy Reed","I'm Gonna Help You","Q3",0.75,4,3,"greasy; lazy; messy","Greasy; Lazy; Messy; Sparse","Greasy; Lazy; Messy; Sparse",2,"Blues; R&B",1,"http://rovimusic.rovicorp.com/playback.mp3?c=wclXsBlwR1U4JFkaTkmWwGjIb8Tr8vVfGLIuM5x_WSg=&f=J"
"MT0003129858","Controlled Bleeding","The Shallow Sky","Q3",0.75,4,4,"bleak; clinical; cold; eerie","Bleak; Clinical; Cold; Eerie","Bleak; Clinical; Cold; Eerie",2,"Pop/Rock; Electronic",1,"http://rovimusic.rovicorp.com/playback.mp3?c=lbuScsCgyKYki_aJfVfpzZjWf7KriH64XH0cLbjLrOY=&f=J"
"MT0003136077","Obituary","Redneck Stomp","Q2",0.625,8,6,"angry; bleak; fierce; harsh; hostile; outrageous","Angry; Bleak; Fierce; Harsh; Hostile; Outrageous; Suffocating; Unsettling","Angry; Bleak; Fierce; Harsh; Hostile; Outrageous; Suffocating; Unsettling",1,"Pop/Rock",1,"http://rovimusic.rovicorp.com/playback.mp3?c=GMiepa53dMz8qGmY7pt7pawfpsQHuOlGC4-o-yXc8Os=&f=J"
"MT0003144898","Scissor Sisters","Everybody Wants the Same Thing","Q1",0.666666666666667,3,3,"exciting; gutsy; uplifting","Exciting; Gutsy; Uplifting","Exciting; Gutsy; Uplifting",2,"Electronic; Pop/Rock",1,"http://rovimusic.rovicorp.com/playback.mp3?c=iwJ71l8jVcWfG_arKH9nWZjWf7KriH64XH0cLbjLrOY=&f=J"
"MT0003170370","Billie Holiday","One; Two; Button Your Shoe","Q1",0.666666666666667,3,3,"happy; joyous; silly","Happy; Joyous; Silly","Happy; Joyous; Silly",3,"Blues; Jazz; Vocal",1,"http://rovimusic.rovicorp.com/playback.mp3?c=LrcCoOYggZ7B0VK6ZVjjDjqpU4hxl5saPDaNIVORh-E=&f=I"
"MT0003209662","...And Oceans","White Synthetic Noise","Q2",0.666666666666667,3,3,"jittery; negative; nervous","Negative; Nervous/Jittery","Negative; Nervous; Jittery",3,"Electronic; International; Pop/Rock",1,"http://rovimusic.rovicorp.com/playback.mp3?c=GLHU-tudo0q1DHM-Oumzt6wfpsQHuOlGC4-o-yXc8Os=&f=J"
"MT0003213835","Rude","Not Fair","Q1",0.666666666666667,3,3,"erotic; gloomy; strong","Erotic; Gloomy; Strong","Erotic; Gloomy; Strong",2,"Electronic; Reggae",1,"http://rovimusic.rovicorp.com/playback.mp3?c=EckB6E_H0YihybFOoKB8GZjWf7KriH64XH0cLbjLrOY=&f=J"
